type,country,state,fatal_y/n,species,continent,year_clean,time_category,month,quarter
Provoked,usa,florida,N,Lemon shark 1.8 m (6ft),north america,2025,morning,aug,3
Unprovoked,australia,new south wales,N,5m (16.5ft) Great White,oceania,2025,morning,aug,3
Unprovoked,bahamas,atlantic ocean near big grand cay,N,Undetermined,north america,2025,afternoon,aug,3
Unprovoked,australia,new south wales,N,Suspected Great White,oceania,2025,afternoon,aug,3
Unprovoked,usa,carolina,N,Undetermined,north america,2025,unknown,aug,3
Unprovoked,australia,south australia,N,Great White Shark est 3m (10ft),oceania,2025,morning,jul,3
Unprovoked,france,nuku hiva,N,Undetermined,europe,2025,unknown,jul,3
Unprovoked,spain,majorca,N,Undetermined,europe,2025,morning,jul,3
Unprovoked,spain,fuerteventura,N,Undetermined,europe,2025,unknown,jul,3
Unprovoked,usa,florida,N,Lemon shark,north america,2025,unknown,jul,3
Unprovoked,usa,florida,N,Undetermined,north america,2025,morning,jul,3
Unprovoked,bahamas,great abaco islands,N,5ft (1.5m) Bull shark,north america,2025,unknown,jul,3
Provoked,usa,massachusetts,N,Unknown,north america,2025,unknown,jul,3
Unprovoked,usa,florida,N,Undetermined small shall shark,north america,2025,afternoon,jul,3
Unprovoked,south africa,kwazulu-natal,Y,Undetermined ,africa,2025,unknown,jul,3
Unprovoked,australia,new south wales,N,2m Bull shark?,oceania,2025,afternoon,jun,2
Unprovoked,usa,long island ny,N,Sand Tiger shark,north america,2025,afternoon,jun,2
Unprovoked,usa,south carolina,N,Small shark,north america,2025,afternoon,jun,2
Unprovoked,usa,south carolina,N,Not stated,north america,2025,afternoon,jun,2
Unprovoked,usa,florida,N,Bull shark,north america,2025,afternoon,jun,2
Unprovoked,usa,california,N,Great White,north america,2025,afternoon,may,2
Unprovoked,usa,north carolina,N,Not stated,north america,2025,morning,may,2
Unprovoked,australia,south australia,N,Not stated,oceania,2025,morning,may,2
Unprovoked,jamaica,montego bay,N,Small shark 1m (3ft) long,north america,2025,unknown,may,2
Questionable,mexico,quntana roo,Y,Not Staed,north america,2025,unknown,,0
Unprovoked,usa,florida,N,Not stated,north america,2025,afternoon,,0
